RPM,Torque [ft-lb],Power [hp]
5932.627931640263,24.056998497313664,27.242386757698558
5933.506580420923,24.062040248130725,27.250196951317292
5934.385229201582,24.06709676386105,27.258017735003357
5935.26387798224,24.07216851510138,27.265850309283056
5936.142526762899,24.077255972448494,27.273695874682733
5937.0211755435585,24.082359606499136,27.281555631728683
5937.899824324217,24.087479887850055,27.289430780947225
5938.778473104876,24.09261728709801,27.297322522864675
5939.657121885535,24.097772274839766,27.305232058007356
5940.535770666194,24.102945321672067,27.313160586901574
5941.414419446853,24.10813689819167,27.321109310073645
5942.293068227512,24.113347474995333,27.32907942804989
5943.171717008171,24.118577522679807,27.337072141356632
5944.050365788829,24.12382751184185,27.345088650520157
5944.929014569489,24.12909791307822,27.35313015606682
5945.807663350148,24.134389179228222,27.36119785852291
5946.686312130807,24.13970132757759,27.36929295841475
5947.564960911465,24.145033924229335,27.37741665626865
5948.4436096921245,24.150386514402005,27.385570152610935
5949.322258472784,24.155758643314137,27.39375464796792
5950.200907253442,24.161149856184277,27.40197134286591
5951.079556034101,24.16655969823097,27.410221437831236
5951.95820481476,24.171987714672756,27.418506133390203
5952.83685359542,24.177433450728177,27.426826630069133
5953.715502376078,24.18289645161577,27.435184128394326
5954.594151156737,24.188376262554083,27.44357982889212
5955.472799937396,24.19387242876166,27.45201493208882
5956.351448718055,24.199384495457036,27.46049063851073
5957.230097498714,24.204912007858766,27.46900814868419
5958.108746279373,24.210454511185382,27.477568663135497
5958.987395060031,24.21601155065542,27.486173382390966
5959.8660438406905,24.22158267148744,27.49482350697693
5960.74469262135,24.227167418899977,27.503520237419693
5961.623341402009,24.232765338111573,27.512264774245573
5962.501990182667,24.23837597434076,27.52105831798087
5963.380638963326,24.243998872806092,27.52990206915193
5964.259287743986,24.24963357872611,27.538797228285045
5965.137936524644,24.255279637319354,27.547744995906534
5966.016585305303,24.26093659380437,27.55674657254272
5966.895234085962,24.2666039933997,27.56580315871992
5967.773882866621,24.272281381323875,27.57491569004826
5968.65253164728,24.27796830279545,27.584083749416774
5969.531180427939,24.283664303032968,27.59330648907065
5970.409829208598,24.289368927254962,27.60258306107312
5971.2884779892565,24.295081720679978,27.611912617487388
5972.167126769916,24.300802228526564,27.621294310376687
5973.045775550575,24.306529996013257,27.63072729180424
5973.924424331233,24.31226456835859,27.640210713833252
5974.803073111892,24.318005490781122,27.649743728526964
5975.681721892552,24.323752308499397,27.659325487948582
5976.560370673211,24.32950456673194,27.668955144161334
5977.439019453869,24.3352618106973,27.678631849228424
5978.317668234528,24.34102358561403,27.688354755213094
5979.196317015188,24.34678943670066,27.698123014178552
5980.074965795846,24.352558909175734,27.707935778188016
5980.953614576505,24.358331548257798,27.717792199304718
5981.832263357164,24.364106899165392,27.727691429591875
5982.710912137823,24.369884507117057,27.73763262111269
5983.589560918482,24.37566391733134,27.74761492593041
5984.468209699141,24.381444675026785,27.757637496108238
5985.3468584798,24.387226325421928,27.767699483709404
5986.2255072604585,24.393008413735306,27.777800040797107
5987.104156041118,24.39879048518548,27.787938319434595
5987.982804821777,24.404572084990974,27.79811347168508
5988.861453602435,24.41035275837033,27.808324649611766
5989.740102383094,24.41613205054211,27.8185710052779
5990.618751163754,24.42190950672484,27.82885169074668
5991.497399944412,24.427684672137058,27.83916585808133
5992.376048725071,24.433457091997322,27.849512659345088
5993.25469750573,24.439226311524173,27.859891246601155
5994.1333462863895,24.44499187593614,27.87030077191276
5995.011995067048,24.450753330451768,27.880740387343106
5995.890643847707,24.456510220289612,27.89120924495544
5996.769292628366,24.462262090668204,27.901706496812977
5997.6479414090245,24.46800848680608,27.912231294978916
5998.526590189684,24.473748953921802,27.922782791516504
5999.405238970343,24.479483037233898,27.933360138488943
6000.283887751002,24.485210281960914,27.943962487959467
6001.16253653166,24.490930233321386,27.954588991991276
6002.04118531232,24.496642436533865,27.96523880264761
6002.919834092979,24.50234643681689,27.975911071991685
6003.798482873637,24.508041779389004,27.98660495208671
6004.677131654296,24.513728009468746,27.997319594995922
6005.5557804349555,24.519404672274664,28.008054152782535
6006.434429215614,24.52507131302529,28.018807777509753
6007.313077996273,24.530727476939187,28.029579621240824
6008.191726776932,24.53637270923488,28.04036883603895
6009.070375557591,24.54200655513091,28.051174573967366
6009.94902433825,24.547628559845823,28.06199598708926
6010.827673118909,24.553238268598168,28.0728322274679
6011.706321899568,24.558835226606487,28.083682447166467
6012.584970680226,24.564418979089307,28.09454579824819
6013.463619460886,24.569989071265184,28.10542143277631
6014.342268241545,24.575545048352662,28.116308502814025
6015.220917022203,24.581086455570272,28.127206160424553
6016.099565802862,24.586612838136567,28.13811355767114
6016.978214583522,24.592123741270083,28.149029846616983
6017.856863364181,24.59761871018937,28.15995417932531
6018.735512144839,24.60309729011296,28.170885707859334
6019.614160925498,24.6085590262594,28.181823584282288
6020.4928097061575,24.61400346384723,28.192766960657387
6021.371458486816,24.619430148095,28.20371498904784
6022.250107267475,24.624838624221244,28.21466682151689
6023.128756048134,24.630228437444504,28.22562161012774
6024.007404828793,24.63559913298333,28.23657850694362
6024.886053609452,24.640950272263062,28.247536664027734
6025.764702390111,24.64628202708389,28.258495233443323
