radius_of_curvature_m,x,y
25.457700,-20.145080,-58.834837
24.320703,-20.054551,-58.881812
23.493635,-19.963761,-58.928440
22.724839,-19.872735,-58.974691
22.442492,-19.781493,-59.020539
22.484529,-19.690051,-59.065969
22.744844,-19.598434,-59.110969
23.594537,-19.506673,-59.155532
24.862513,-19.414763,-59.199678
26.349623,-19.322732,-59.243419
28.451694,-19.230657,-59.286748
31.243800,-19.138622,-59.329657
36.482865,-19.046679,-59.372163
41.001786,-18.954662,-59.414390
48.475771,-18.862661,-59.456337
58.174593,-18.770771,-59.498002
82.329785,-18.679092,-59.539382
112.554393,-18.587526,-59.580574
159.650612,-18.496002,-59.621648
252.661356,-18.404574,-59.662609
469.702529,-18.313297,-59.703458
2650.564494,-18.222214,-59.744197
-1992.990655,-18.131175,-59.784910
-900.687171,-18.040167,-59.825614
-747.137914,-17.949202,-59.866311
-799.194412,-17.858281,-59.907002
-1473.735377,-17.767393,-59.947691
12516.303463,-17.676461,-59.988407
860.721427,-17.585502,-60.029133
390.855859,-17.494503,-60.069864
251.425873,-17.403424,-60.110603
179.051826,-17.312220,-60.151354
145.844906,-17.220850,-60.192119
120.397545,-17.129373,-60.232855
99.314171,-17.037805,-60.273540
84.480874,-16.946096,-60.314178
75.303360,-16.854193,-60.354771
67.541434,-16.762049,-60.395323
64.323057,-16.669759,-60.435777
60.385487,-16.577369,-60.476102
58.021458,-16.484850,-60.516300
56.720810,-16.392179,-60.556373
55.079495,-16.299341,-60.596322
55.104982,-16.206387,-60.636120
55.549167,-16.113344,-60.675754
56.594520,-16.020226,-60.715221
58.312441,-15.927042,-60.754519
61.133800,-15.833808,-60.793649
64.847892,-15.740533,-60.832615
69.656057,-15.647241,-60.871417
76.361664,-15.553937,-60.910067
84.289071,-15.460658,-60.948562
98.831664,-15.367446,-60.986899
115.710355,-15.274261,-61.025113
140.491509,-15.181127,-61.063213
175.312093,-15.088065,-61.101205
224.862352,-14.995092,-61.139098
321.138686,-14.902248,-61.176891
491.408504,-14.809477,-61.214619
869.905604,-14.716745,-61.252309
3144.646607,-14.624079,-61.289960
-2621.851699,-14.531475,-61.327582
-1007.755843,-14.438953,-61.365175
-673.520472,-14.346514,-61.402745
-538.459240,-14.254092,-61.440323
-467.666546,-14.161699,-61.477909
-431.461520,-14.069336,-61.515506
-416.386261,-13.977007,-61.553113
-421.904437,-13.884712,-61.590733
-446.518420,-13.792428,-61.628373
-485.663794,-13.700137,-61.666040
-545.347916,-13.607835,-61.703733
-639.773330,-13.515527,-61.741449
-807.142280,-13.423202,-61.779188
-1117.567203,-13.330847,-61.816953
-1755.307010,-13.238479,-61.854732
-3279.244710,-13.146086,-61.892529
-11656.821111,-13.053664,-61.930340
11830.560734,-12.961207,-61.968167
4937.547567,-12.868704,-62.006011
3606.617251,-12.776176,-62.043864
3288.343036,-12.683641,-62.081717
3571.570486,-12.591096,-62.119571
4849.304424,-12.498532,-62.157429
12427.445091,-12.405951,-62.195293
-11495.345171,-12.313351,-62.233163
-3226.142865,-12.220763,-62.271030
-1685.667133,-12.128190,-62.308893
-1086.943186,-12.035620,-62.346762
-763.906961,-11.943056,-62.384639
-593.655144,-11.850506,-62.422524
-502.023433,-11.757980,-62.460417
